Datetime,Close,MACD_Crossover,YBR_Crossover,adx,macd,candle,Signal,Return
2023-02-17 01:00:00-05:00,4077.5,0,0,33.009317,-17.329457,NO_PATTERN,0,
2023-02-17 02:00:00-05:00,4078.75,0,0,33.704568,-17.325162,CDLHIGHWAVE_Bull,0,
2023-02-17 03:00:00-05:00,4073.0,0,0,34.958514,-17.583049,CDLBELTHOLD_Bear,0,
2023-02-17 04:00:00-05:00,4075.25,0,0,35.876253,-17.405233,CDLSPINNINGTOP_Bull,0,
2023-02-17 05:00:00-05:00,4069.5,0,0,36.728439,-17.526258,CDLENGULFING_Bear,0,
2023-02-17 06:00:00-05:00,4070.5,0,0,37.694466,-17.341576,CDLSPINNINGTOP_Bull,0,
2023-02-17 07:00:00-05:00,4075.5,0,0,37.711745,-16.600398,NO_PATTERN,0,
2023-02-17 08:00:00-05:00,4077.25,1,0,37.578815,-15.690923,CDLSPINNINGTOP_Bull,0,
2023-02-17 09:00:00-05:00,4062.5,1,0,38.268549,-15.976195,NO_PATTERN,0,
2023-02-17 10:00:00-05:00,4064.5,1,0,38.301554,-15.85809,NO_PATTERN,0,
2023-02-17 11:00:00-05:00,4063.25,0,0,38.630633,-15.684554,CDLDOJI_Bull,0,
2023-02-17 12:00:00-05:00,4059.75,0,0,38.30337,-15.649054,CDLSPINNINGTOP_Bear,0,
2023-02-17 13:00:00-05:00,4066.75,0,0,37.999483,-14.884499,NO_PATTERN,0,
2023-02-17 14:00:00-05:00,4086.5,0,0,35.578632,-12.540366,CDLBELTHOLD_Bull,0,
2023-02-17 15:00:00-05:00,4088.25,0,0,33.090295,-10.421283,CDLADVANCEBLOCK_Bull,0,
2023-02-17 16:00:00-05:00,4085.75,0,0,30.779695,-8.841702,NO_PATTERN,0,
2023-02-19 18:00:00-05:00,4079.0,0,0,29.497869,-8.04184,CDLHIKKAKE_Bull,0,
2023-02-19 19:00:00-05:00,4077.75,0,0,28.351445,-7.423238,CDLDOJI_Bull,0,
